#Mode,Cons,transition via,allowed,not allowed
AL_PW_Off,0,AALF009A+00:14:31 AALF002+00:07:02 AALF002A+00:07:02 AALS103A,AL_PW_Operational AL_PW_On AL_PW_Off,null
AL_PW_On,6.3,AALF009A+00:01:01 AALF002A+00:00:02 AALF002A+00:10:02 AALS102A,AL_PW_Off,null
AL_PW_Operational,6.3,AALS101A AALS104A AALS301A AALS301C AALS302A AALS302G AALS303A AALS306A AALS401A AALS402A AALS404B AALS501A AALS502A AALS511A AALS513A AALS514A AALS515A AALS515B AALS521A AALS531A AALS591A AALS601A AALS602A AALS603A AALS604A AALS605A AALS606A AALS607A AALS608A AALS609A AALS610A AALS701A AALS702A AALS703A AALS704A AALS704D,AL_PW_On AL_PW_Operational,null
AL_HV_Off,0,AALS202B AALS301A+02:00:36 AALS301B+00:45:36 AALS301C+01:15:36 AALS303A,AL_HV_Off AL_HV_On,null
AL_HV_On,0,AALS202A+00:00:20 AALS301A+00:00:32 AALS301B+00:00:32 AALS301C+00:00:32 AALS302A+00:00:35 AALS302B+00:00:35 AALS302C+00:00:35 AALS302D+00:00:35 AALS302E+00:00:35 AALS302F+00:00:35 AALS302G+00:00:35 AALS306A+00:00:02secs AALS610A,AL_HV_Off AL_HV_On,null
AL_HTR_Off,0,AALS101A+00:07:00 AALS201B AALS202B+00:00:05,AL_HTR_Off AL_HTR_On,null
AL_HTR_On,0,AALS101A+00:02:50 AALS201A+00:00:40 AALS202A+00:01:00,AL_HTR_Off AL_HTR_On,null
AL_Door_Closed,0,AALS101A+00:08:00 AALS104A+00:03:00 AALS103A+00:00:10 AALS202B+00:55:00 AALS301A+03:00:00 AALS301B+01:45:06 AALS301C+02:15:06 AALS402A AALS404B+00:00:05 AALS404B+00:18:22 AALS515B+00:00:05 AALS531A AALS591A+00:00:05,AL_Door_Closed AL_Door_Open,null
AL_Door_Open,0,AALS101A+00:02:00 AALS202A+00:00:09 AALS301A+00:00:21 AALS301B+00:00:21 AALS301C+00:00:21 AALS401A+00:00:01 AALS404B+00:00:15 AALS501A AALS502A AALS511A AALS513A AALS514A AALS515A AALS521A,AL_Door_Closed AL_Door_Open,null
CN_PW_Off,0,ACNS970A ACNS980A ACNS300A+00:19:00 ACNS320A ACNS400B+00:00:10 ACNS401B+00:00:10 ACNS420B+00:01:00 ACNS420D+00:01:00 ACNC301A+00:26:20,CN_PW_On CN_PW_Of,null
CN_PW_On,11,ACNS960A ACNS300A ACNS320A ACNS400A ACNS401A ACNS420A ACNS420C ACNC301A,CN_PW_Off,null
CS_PW_Off,0,ACSF005A,CS_PW_Off CS_PW_On CS_PW_Idle CS_PW_Science,null
CS_PW_On,10,ACSF001A,CS_PW_Off,null
CS_PW_Idle,10,ACSS170Z+01:00:00,CS_PW_On CS_PW_Idle CS_PW_Science,null
CS_PW_Science,22.4,AACS001A ACSC001A ACSC002A ACSC003A ACSC004A ACSC005A ACSF002A ACSF002B ACSF003A ACSF010A ACSF010B ACSF010C ACSF010D ACSS008A ACSS100Z ACSS101Z ACSS110Z ACSS111Z ACSS112Z ACSS120Z ACSS123Z ACSS124Z ACSS129Z ACSS180Z ACSS190Z ACSS191Z ACSS201A ACSS202A ACSS210A ACSS212A ACSS213A ACSS215A ACSS217A ACSS218A ACSS221A ACSS227A ACSS228A ACSS231A ACSS233A ACSS241A ACSS242A ACSS261A ACSS262A ACSS263A ACSS300A ACSS300B ACSS314A ACSS315A ACSS987A ACSS993A ACSS997A ACSS998A ACSS999A,CS_PW_On CS_PW_Idle CS_PW_Science,null
GD_PW_Off,5.33,AGDF060A+00:10:00 AGDF030A,GD_PW_Off GD_PW_Safe,null
GD_PW_Safe,5,AGDF060A AGDF060A+00:07:00 AGDS001A AGDS065A,GD_PW_Safe GD_PW_Normal GD_PW_Flux GD_PW_Cover GD_PW_Off,null
GD_PW_Flux,5,AGDS616A,GD_PW_Safe GD_PW_Flux,null
GD_PW_Cover,25,AGDF060A+00:06:00 AGDF070A AGDF090A AGDS035A,GD_PW_Safe GD_PW_Flux GD_PW_Cover GD_PW_Normal,null
GD_PW_Normal,5,AGDS110A AGDS611A,GD_PW_Safe GD_PW_Normal,null
GDS_PW_Off,0,AGDF055A+00:01:00 AGDF100A+00:20:00 AGDS311B AGDF060A AGDS065A,GDS_PW_Off GDS_PW_On,null
GDS_PW_On,4,AGDF100A+00:50:00 AGDS110A AGDS311A AGDS611A,GDS_PW_Off GDS_PW_On,null
MBS_PW_Off,0,AGDF060A AGDS065A AGDS501B,MBS_PW_Off MBS_PW_On,null
MBS_PW_On,4,AGDS110A AGDS501A AGDS611A AGDS616A,MBS_PW_Off MBS_PW_On,null
LAS_PW_Off,0,AGDF055A+00:01:00 AGDF100A+00:20:00 AGDS306A AGDS311B AGDF060A AGDS065A,LAS_PW_Off LAS_PW_On,null
LAS_PW_On,8,AGDF100A+00:50:00 AGDS110A AGDS301A AGDS311A AGDS611A,LAS_PW_Off LAS_PW_On,null
HEAT_PW_Off,0,AGDF055A+00:50:00 AGDS231A+00:00:05 AGDF060A,HEAT_PW_On HEAT_PW_Off,null
HEAT_PW_On,8,AGDF055A+00:05:00 AGDS231A,HEAT_PW_Off HEAT_PW_On,null
MD_PW_Off,0,AMDF041A,MD_PW_Off MD_PW_Standby MD_PW_Exposure MD_PW_MoveLinearStage MD_PW_MoveWheel MD_PW_FreqScan MD_PW_Approach MD_PW_Scan MD_PW_LinearStageSetup MD_PW_HighResScan,null
MD_PW_Standby,8.3,AMDF040A,MD_PW_Off,null
MD_PW_Exposure,9.4,AMDF031A AMDF032A,,MD_PW_Off
MD_PW_MoveLinearStage,11.4,AMDF025A AMDF018A AMDF019A,,MD_PW_Off
MD_PW_MoveWheel,10.3,AMDF020A,,MD_PW_Off
MD_PW_FreqScan,13,AMDF026A AMDF027A,,MD_PW_Off
MD_PW_Approach,18.3,AMDF021A AMDF022A AMDF023A AMDF024A AMDF210A,,MD_PW_Off
MD_PW_Scan,17.1,AMDF028A AMDF029A AMDF030A,,MD_PW_Off
MD_PW_LinearStageSetup,14.8,AMDF211A,,MD_PW_Off
MD_PW_HighResScan,18.3,AMDC030A,,MD_PW_Off
MR_PW_Off,3.6,AMRF003A,MR_PW_Off MR_PW_Eng MR_PW_MMC MR_PW_SMMC MR_PW_DualCnt MR_PW_CTSSMM MR_PW_CTSDual MR_PW_Ast MR_PW_Checkout,null
MR_PW_Eng,48.8,AMRF001A AMRF016A AMRF100A+04:00:00,MR_PW_Off MR_PW_Eng MR_PW_MMC MR_PW_SMMC MR_PW_DualCnt MR_PW_CTSSMM MR_PW_CTSDual MR_PW_Checkout,null
MR_PW_MMC,52.8,AMRF015A,MR_PW_Eng MR_PW_MMC MR_PW_SMMC MR_PW_DualCnt MR_PW_CTSSMM MR_PW_CTSDual,null
MR_PW_SMMC,55.0,AMRF014A,MR_PW_Eng MR_PW_MMC MR_PW_SMMC MR_PW_DualCnt MR_PW_CTSSMM MR_PW_CTSDual,null
MR_PW_DualCnt,62.0,AMRF013A AMRF500A+00:21:03,MR_PW_Eng MR_PW_MMC MR_PW_SMMC MR_PW_DualCnt MR_PW_CTSSMM MR_PW_CTSDual MR_PW_Ast,null
MR_PW_CTSSMM,76.1,AMRF012A,MR_PW_Eng MR_PW_MMC MR_PW_SMMC MR_PW_DualCnt MR_PW_CTSSMM MR_PW_CTSDual,null
MR_PW_CTSDual,81.5,AMRF011A,MR_PW_Eng MR_PW_MMC MR_PW_SMMC MR_PW_DualCnt MR_PW_CTSSMM MR_PW_CTSDual,null
MR_PW_Ast,81.5,AMRF500A,MR_PW_DualCnt,null
MR_PW_Checkout,81.5,AMRF100A,MR_PW_Eng,null
SR_PW_Main_Off,26,ASRF051A,SR_PW_Main_Idle SR_PW_Main_Off,null
SR_PW_Main_Idle,25.5,ASRF050A,SR_PW_Main_Off,null
SR_PW_NAC_Off,0,ASRS028A ASRS988B ASRF051A,SR_PW_NAC_On SR_PW_NAC_Off,null
SR_PW_NAC_On,4.1,ASRS027A ASRS989B,SR_PW_NAC_Off,null
SR_PW_WAC_Off,0,ASRS030A ASRS988C ASRF051A,SR_PW_WAC_On SR_PW_WAC_Off,null
SR_PW_WAC_On,4.1,ASRS029A ASRF007A ASRS989C,SR_PW_WAC_Off,null
